,db,accuracy
0,./csv/abalone.csv,0.5478468899521531
1,./csv/adult.csv,0.7976251407513564
2,./csv/australian.csv,0.6086956521739131
3,./csv/drugs.csv,0.3710247349823322
4,./csv/fertility.csv,0.8
5,./csv/german.csv,0.75
6,./csv/glass.csv,0.8307692307692308
7,./csv/heart.csv,0.5061728395061729
8,./csv/ionosphere.csv,0.9056603773584906
9,./csv/pendigits.csv,0.9751364463311097
10,./csv/phishing.csv,0.9418148929755803
11,./csv/failures.csv,0.9197530864197531
12,./csv/shuttle.csv,0.9970114942528736
13,./csv/spam.csv,0.9341057204923968
14,./csv/wdbc.csv,0.7543859649122807
15,./csv/wifi.csv,0.9766666666666667
16,./csv/wine.csv,0.3148148148148148
17,./csv/zoo.csv,0.6451612903225806
18,./csv/breast.csv,0.28125
19,./csv/stability.csv,0.9523333333333334
20,./csv/student.csv,0.8994974874371859
21,./csv/leaf.csv,0.20588235294117646
22,./csv/kidney.csv,0.38333333333333336
23,./csv/traffic.csv,0.6341463414634146
